phrase,level
tepid,1
Trek,2
Insurrection,2
Contact,2
villain,1
lint,2
Borg,1
Queen,2
Krige,2
cape,2
finishes,2
parsec,2
nose,2
Generations,2
dated,1
depending,2
Ignorant,1
Fairies,2
Tense,1
sweaty-palmed,2
Majidi,2
smoother,3
bewilderingly,1
Hard,2
caring,2
Bring,2
tissues,2
stale,2
standard,1
connect-the-dots,2
commonplace,2
seamy,2
underbelly,2
criminal,2
Without,2
probing,2
Inherently,2
caustic,2
chimes,2
eccentricities,2
attached,2
concept,2
Frodo,2
quest,2
unfulfilled,1
hardy,2
Zealanders,2
proved,2
mettle,3
square,2
satisfies,4
Pure,3
intoxication,2
tastelessness,1
swooning,2
elegance,3
features,2
betting,2
behold,2
impressed,4
tit-for-tat,2
retaliatory,2
responses,2
pulling,2
plug,2
conspirators,2
American-Russian,2
Armageddon,1
classy,3
spin,2
frantic,1
spiffy,3
unruly,2
yearning,2
prove,2
Devos,1
Cassel,2
tremendous,4
vocalized,2
Fulfills,2
requirement,2
uneven,1
exception,2
blighter,2
London,2
housing,2
digs,2
dysfunction,1
comforting,3
jar,2
Marmite,2
slathered,2
crackers,2
served,3
bleakness,2
Wickedly,2
consume,2
impress,3
president,2
single-handedly,2
hard-bitten,2
cynical,1
journalists,2
campaign,2
publicity,2
department,2
Until,2
rails,2
Wendigo,2
Larry,2
newfangled,2
variation,2
derived,2
Woo,3
Killer,1
Collateral,3
Damage,2
trash,0
earns,2
extra,2
hard-hitting,3
formula,2
Fincher,2
pacing,2
above-average,3
flamboyant,2
larger-than-life,2
Atlantic,2
Exploits,2
headbanger,2
stereotypes,1
adding,3
titles,2
Plutonium,3
Circus,2
Purgatory,2
penchant,2
contentious,2
configurations,2
canon,2
invitingly,2
upbeat,3
overture,2
pathos-filled,2
finale,2
conducted,2
Passions,2
loneliest,2
spots,2
pushed,2
virtuous,3
limits,2
lending,2
swings,2
jostles,2
rhythms,2
telescope,2
aloof,1
unreachable,1
targeted,2
cheer,2
Otherwise,2
increasingly,2
computer,2
favor,2
Blade,2
merges,2
bits,2
pieces,2
fighting,2
wire,2
Bond,2
wrestling,2
bloody,1
stew,2
Instead,2
hitting,2
Schrader,2
ironies,2
annals,2
Demons,2
fear,2
Contrived,1
updating,2
glib,1
bouncy,3
sixties-style,2
slickness,2
caught,2
escapism,2
hip-hop,2
Scratch,2
Between,2
bursts,2
automatic,2
gunfire,2
critique,2
capitalism,2
Combines,2
improbable,1
gored,2
bullfighters,2
comatose,1
ballerinas,2
kinky,2
bedside,2
vigils,2
denouements,2
touched,3
Iwai,2
seduce,2
taboo,1
source,2
Scooby,2
Doo,2
recommendation,2
devastatingly,1
astonishingly,3
complete,3
gang,1
insane,1
liberties,2
goofiest,3
field,2
sun-drenched,2
parlor,2
Worth,3
curiosity,2
forum,2
demonstrate,2
chops,2
advantage,3
bio-pic,2
downfall,1
self-awareness,2
Bourne,2
Identity,2
Doug,2
Liman,2
colleagues,2
satisfy,4
boom-bam,2
VeggieTales,2
appetizing,3
dish,2
asparagus,2
Brussels,3
sprouts,2
Remove,2
herring,2
surroundings,2
mildly,2
outing,2
R,2
rating,2
nudity,1
corpse,1
aloft,2
self-referential,2
Tim,2
refuses,1
ruthless,2
placid,2
conservative,2
hidebound,2
movie-making,2
traditions,2
relevance,2
lessons,2
revisiting,2
intrepid,3
identity,2
Antonia,2
question,2
flip-flop,2
courtship,2
reflections,2
intentional,2
grows,3
vacuum,2
Gooding,2
frontman,2
enthusiasm,3
good-naturedness,3
goofiness,3
cameos,2
than-likely,2
celebrities,2
raises,2
philosophy,2
illustrated,2
stylishly,3
verve,2
Gives,2
rapidly,2
changing,2
Beijing,3
Hong,2
Kong,2
See,2
inevitable,2
flattens,2
wrinkles,2
Holm,2
Iben,2
Hjelje,2
Pumpkin,2
Features,3
accurate,3
writer,2
block,2
moron,1
foul,1
pristine,3
colors,2
oversized,2
bedtime,2
dishonorable,1
quickie,2
teen-pop,3
exploitation,1
partly,2
synthetic,2
decency,2
Bravo,2
rewritten,2
Lead,2
Ga茂,2
impossibly,1
limbs,2
conspiratorial,2
towering,2
siren,1
Stomp,2
stage,2
Lux,2
eighties,3
grandmother,2
biography,2
setup,2
facile,2
cheap-shot,1
mediocrity,1
crack,2
Rife,2
rueful,2
springing,3
machine,2
childhood,2
cares,3
melted,2
mesmerize,3
astonish,3
Rubbo,2
humorously,3
tendentious,1
intervention,2
who-wrote-Shakespeare,2
Cantet,2
illuminates,3
action-packed,3
ringside,2
tough-man,2
contest,2
frustration,0
euphoria,4
tropes,2
gag,1
expense,2
viscerally,2
repellent,1
Overcomes,2
hideousness,1
Astonishingly,4
skillful,3
historically,2
cooly,2
recreates,2
conjured,2
combine,2
Cherish,3
spaceship,2
launching,2
pad,2
duly,2
dimensions,2
shots,2
astronauts,2
floating,2
cabins,2
German,2
occupation,2
mediocre,1
supposed,2
target,2
Judging,2
Fubar,2
laugh-out-loud,3
diverse,3
articulate,2
Palestinian,2
Israeli,2
Slight,2
stark,2
unnatural,1
calm,2
shaken,2
blasts,3
rage,1
Full,3
Monty,2
underdog,2
redux,2
Unfolds,2
organic,3
encourages,2
evocation,2
evergreen,2
exuberant,4
expresses,2
heat,2
prevails,3
cooks,2
smoky,2
sizzle,2
Denis,2
forges,2
sisterly,2
obsession,2
razor-sided,2
tuning,2
fork,2
rings,2
discord,1
pre-WWII,2
temptations,2
unleashed,2
crazed,2
overtly,2
one-night,2
swim,2
raucously,3
uncomfortable,1
surprised,3
tones,2
surrealistic,3
rudimentary,2
Python,3
cartoons,2
drawings,2
photographs,2
paste,2
flat-out,2
Canada,3
arctic,2
frozen,2
tundra,2
breathes,2
private,2
Inuit,2
levels,2
B眉ttner,2
implies,2
wake,2
intractable,2
irreversible,2
Alternately,2
aggravating,1
scathing,1
joyous,3
masterpeice,4
messages,2
tolerance,2
diversity,2
drawn,2
robustness,3
bloodletting,2
legal,2
Ireland,2
raise,2
remember,2
Hartley,2
satirical,2
suffocating,1
senseless,1
morbid,0
buttons,2
push,2
constantly,2
rug,2
underneath,2
plunging,2
Insanely,2
laughed,3
Anyone,2
suffered,1
martinet,2
instructor,2
fantasized,3
unhappy,1
tormentor,2
deserved,2
implosion,1
explosion,2
evenings,2
Stitch,2
watercolor,2
Dumbo,2
directing,2
awkward,1
ready-made,2
midnight,2
cold,1
conditions,2
goofy,2
scratching,2
Bowling,2
Columbine,2
infused,2
sensibility,2
two-wrongs-make-a-right,2
loses,1
Screenwriting,2
Dummies,2
conformity,2
Talk,2
Her,2
Star\/producer,2
Julie,2
inherent,2
titular,3
paintings,2
labor,2
strikes,2
chord,2
kid-empowerment,3
brains,2
coherent,3
sharply,3
gong,2
Guzm谩n,2
frustratingly,2
Pinochet,1
material,2
monsters,2
vengeance,1
Oleander,2
rolling,2
spring,2
directly,2
exalts,2
Marxian,2
dream,3
harmoniously,3
joined,2
1984,2
uncut,2
Sergio,2
Leone,2
staggering,2
Upon,2
insightfully,4
choice,2
assuming,2
air-conditioning,2
properly,2
topic,3
Galinsky,2
Hawley,2
planned,2
documentarian,3
rope,2
snaps,2
starring,2
Wesley,2
Snipes,2
compulsive,2
Metro,2
strategies,3
deceptions,1
Tavernier,2
inimitable,3
tenderness,3
discontent,2
Return,2
reliable,3
Suffice,2
acquainted,2
tiniest,2
wife,2
Tarantino,2
Alias,2
detailed,3
executed,2
Marvelously,4
deliriously,2
reverent,3
remembrance,3
Deserves,2
Nanook,2
landmark,3
Murderous,1
Maids,2
punches,1
Papin,2
sister,2
led,2
notorious,2
infamy,1
inspiration,4
fringes,2
underground,2
Sweetest,2
tendencies,2
saving,3
reflect,3
point-of-view,2
lightweight,2
oozing,2
attractive,3
wind-in-the-hair,2
Fans,2
critics,2
murky,1
brooding,1
dangerously,2
revelations,2
machines,2
curtains,2
explosive,3
create,3
Confounding,1
solemnly,2
advances,3
daringly,2
preposterous,0
thesis,2
Acting,2
Fulford-Wierzbicki,2
wise-beyond-her-years,3
wild,2
juiced,3
synergistic,2
typically,2
carefully,2
encouraging,3
needlessly,1
downbeat,1
heavy,2
preceded,2
neo-Nazism,1
probe,2
nature,2
faith,2
attempts,2
heal,2
1989,2
prefer,2
zinger-filled,3
crowd-pleaser,4
open-minded,2
Elvis,2
Diggs,2
Lathan,2
reasons,2
Sugar,2
Entirely,2
well-paced,3
dare,2
flexible,3
Terrific,4
Nadia,2
Russian,2
mail-order,2
bride,2
kittenish,2
accumulates,2
layers,3
unflappable,3
decadent,2
urbanity,2
Everett,2
Wildean,2
Firth,2
re-release,2
Ron,2
Howard,2
Apollo,2
packages,2
honesty,3
Wonderful,3
fencing,2
eminently,2
linear,2
makeup-deep,2
ties,2
efficiency,2
comic-book,2
adaptations,2
superior,3
Smart,3
Thirteen,2
pearls,2
clicking,2
We,2
wintry,2
1899,2
Cinematic,2
old-world,2
managing,2
charismatic,3
rising,3
Jake,2
winners,2
Susan,3
Dustin,2
Holly,2
Hunter,2
Ellen,2
Pompeo,2
aplomb,2
documentaries,2
phenomenal,4
Ian,2
conquers,3
earthy,3
Napoleon,2
fat,1
Ah,2
Sports,3
characterizations,2
Directors,2
Brett,2
Morgen,2
Nanette,2
Burstein,2
biographical,2
fantasia,2
subtitled,2
remote,2
African,2
empire,2
guns,2
internal,2
combustion,2
engine,2
thump,2
pastry,2
Country,3
Bears,2
amused,3
groan-to-guffaw,2
ratio,2
LaBute,2
balances,2
Traditional,2
Modern,2
overwhelms,2
Something,2
Irwin,2
wildlife,3
environs,2
teach,2
sloppy,0
slap,1
simultaneously,2
scares,2
ominous,2
pervasive,3
unknown,2
threat,2
lurks,2
constant,2
mindset,2
suspense,2
Cut,2
insular,2
clich茅s,1
dedicated,3
rail,2
ongoing,2
unprecedented,2
construction,2
heads,2
physically,2
Contradicts,1
nowadays,2
handling,2
handles,2
geeked,2
Testud,2
Parmentier,2
Filmmaker,2
Stacy,2
Peralta,2
jell,2
Sean,2
Penn,2
monotone,1
narration,2
respects,3
sentimentalizing,3
elevate,3
Glory,3
ilk,2
notably,2
presence,2
chills,2
atmospheric,2
weirdness,1
behavior,2
Rises,3
oh-so-Hollywood,2
rejiggering,2
unabashed,2
esoteric,3
musings,2
grownups,3
Ming-liang,2
ghosts,2
painfully,0
aware,2
not-being,2
Leaping,2
Songs,2
Second,2
Floor,2
randomness,2
lively,3
Nicolas,2
Cage,2
apology,2
all-powerful,3
pop-cyber,2
feeds,2
Bjorkness,2
underrated,2
professionals,3
deserve,2
receive,3
verge,2
bizarre,1
winds,2
character-oriented,3
127,2
El,2
Crimen,2
Padre,2
Amaro,2
despairing,2
corruption,1
establishment,2
in-depth,2
developments,2
university,2
departments,2
instantly,2
recognizable,3
drawing,2
Leave,1
Sayles,2
developers,2
Chamber,2
Commerce,2
tourism,2
pageants,2
commercialism,2
neglecting,2
minute,2
Reign,3
Fire,1
all-time,2
apocalypse,2
canvas,2
brush,2
Smokey,2
Robinson,2
worm,2
law,2
enforcement,2
nasty,0
Hades,2
halfhearted,1
zeal,3
8th,2
grade,3
delving,3
Hey,2
offbeat,2
resistance,2
proficient,2
singularly,2
cursory,1
feral,2
Bette,2
word-of-mouth,2
reviews,2
studio,2
Slow,1
ponderous,2
Rohmer,2
indoor,2
totally,2
weirded,1
notion,2
community-therapy,2
disorienting,1
Austin,2
Powers,2
Tattoo,2
Seven,2
maintain,2
human-scale,2
suck,1
outer,2
raunch,1
brio,2
Elvira,2
canny,2
gruesome,1
sociopath,1
scariest,2
sadists,1
credited,2
Fast-paced,3
bracing,3
unblinking,2
serves,2
elegy,2
Hashiguchi,2
evoke,2
bustling,2
atop,2
grab,2
lump,2
Play-Doh,2
harder,2
slip,2
fingers,2
bliss,3
Few,2
conflagration,2
Nesbitt,2
Cooper,2
bullets,2
flying,2
procession,2
reinvigorated,3
retelling,1
Alexandre,3
Why,2
Kevin,2
Reynolds,2
F,1
soundtrack,2
unconventional,2
blazingly,3
Shiri,2
sneaks,2
Provides,2
therapy,2
sanctimony,2
self-hatred,2
self-determination,3
guy,2
amiably,2
Overall,2
well-meaning,4
patronizing,1
masked,2
injustice,2
exploit,2
arrives,2
margin,2
travel,2
Jeong-Hyang,2
deceptively,2
hoot,2
morning,2
pseudo-educational,2
shaggy,2
drags,1
forced,1
breathtaking,4
commentary,2
provided,2
life-size,2
reenactment,2
tracts,2
hippie,2
tossed,2
lake,2
fire,2
Grainy,2
mars,2
letter,2
slain,1
rappers,2
taunt,2
recovered,2
sights,1
wondrous,3
Daily,2
struggles,1
usurp,2
preaching,2
fuzzy,3
downtown,2
candy,2
Clever,4
barbs,2
Slap,2
contemporary,3
southern,2
adolescence,2
pill,2
miracle,3
self-expression,2
Sex,3
confuse,2
Compared,2
flops,1
RunTelDat,2
fingering,2
solutions,3
scratches,2
itch,2
director\/co-writer,2
Jacques,2
Audiard,2
country,2
belongs,2
rank,1
Delivers,3
razzle-dazzle,2
Vincent,2
Gallo,2
shocker,2
weirdo,2
Fierce,2
glaring,1
Cletis,2
studied,2
dependent,2
contraption,2
clean,3
kid-friendly,3
investigate,2
Either,2
mothers,3
sociopaths,1
gripping,3
Effective,3
Margarita,2
Happy,3
auspicious,2
Chaiken,2
arrive,2
filling,3
lighthearted,3
glow,3
impudent,1
snickers,2
dose,2
humankind,2
Standing,2
Yourself,2
medium,2
perception,2
unmistakably,2
fast-moving,3
Rehearsals,2
Dance,2
fulfills,2
facet,2
mission,2
unhurried,2
controlled,2
resonances,2
ironically,2
distanced,2
one-of-a-kind,3
instrument,2
scrapbook,2
Arnie,2
musclefest,2
resonance,3
insultingly,1
simplistic,2
tackles,2
response,2
hinge,2
Amy,2
Bloody,1
Sunday,2
prevention,2
accomplishes,3
dominate,2
bittersweet,3
scene,2
Faithful,3
shrill,2
Walk,2
Remember,2
nuance,2
characterization,2
marred,1
inexplicable,2
distracting,1
blunder,1
paying,2
guess,2
unassuming,1
appreciates,3
one-liners,2
snappy,3
volatile,1
opportunities,2
rewarded,3
anchored,2
splendid,4
honored,2
transform,2
mother\/daughter,2
Fathers,2
bonds,2
received,2
techno-sex,2
weirder,2
nurtures,2
multi-layers,3
gamble,2
embraced,3
reflective,2
Walter,2
Hill,2
hypermasculine,1
vitality,2
hands,2
heady,2
jumble,2
undertaking,2
coheres,2
serviceable,2
half-bad,2
Almost,2
believes,2
Addams,2
hanging,1
barbershop,2
Chances,2
Lucas,2
visionary,3
Can,2
viewed,2
composition,2
Every,2
individual,2
beliefs,2
prejudices,1
peace,2
tolerate,2
redneck-versus-blueblood,2
trades,2
Alabama,2
Jeff,2
Foxworthy,2
Shaw,2
icon,2
melting,2
Phocion,2
attentions,2
campaign-trail,2
press,2
candidate,2
no-bull,2
throwback,2
1970s,2
zips,2
go-for-broke,3
heralds,2
phoniness,2
female-bonding,2
Divine,3
Secrets,2
Sisterhood,2
Goes,2
gusto,3
Scorpion,2
Barbarian,2
Promises,3
barriers,2
Unexpected,2
authentically,3
impulsive,2
hallmark,2
uncommonly,2
frank,2
libretto,2
ideally,3
capturing,3
lyricism,2
sincerely,3
traffic,2
jam,2
grotesquely,0
maintains,2
Credit,2
DiCaprio,2
watchable,3
valley-girl,2
Dench,2
lulls,2
129-minute,2
dutifully,2
heartstrings,2
Dean,2
Deblois,2
Sanders,2
valiantly,3
Ambitious,3
psychodrama,2
rough-around-the-edges,2
constraints,2
Byler,2
pic,2
sentiments,2
explanations,2
Manages,2
wallowing,2
hormonal,2
comedy-drama,2
fulfill,3
dreams,2
smooth,2
professional,3
Blithely,3
slyly,2
achronological,2
1950,2
Doris,2
ugly,1
Triumph,4
Discursive,1
Trouble,1
terminally,2
smitten,2
troubadour,2
acolytes,2
verite,2
assassination,1
F.,2
Kennedy,2
Blair,2
Witch,2
techniques,2
territory,2
guts,3
aplenty,3
bonus,3
worry,1
subjected,2
farts,1
urine,2
feces,1
semen,2
substances,2
overrun,1
limbo,2
truth-telling,3
door,2
liberation,2
89,2
horrendously,0
confusing,1
native,2
Mexican,2
Desplat,2
transfixes,2
Mora,2
Hitler-study,2
Snide,0
Prejudice,1
joyful,4
solo,3
Breaking,2
sustain,2
conclusion,2
lagging,1
guiltless,2
evening,2
Deflated,1
zippy,2
jazzy,2
Performances,3
tops,2
leads,2
Oscar-caliber,3
Everything,2
Waters-like,2
dances,2
falling,3
calling,2
education,2
demonstration,2
painstaking,3
imparting,2
May,2
impair,2
highway,2
patrolman,2
nuts,2
cold-fish,0
Copmovieland,2
routes,2
awareness,2
overlooked,2
misconceived,1
5,2
brilliance,3
dutiful,2
efforts,2
disciplined,2
grade-grubbers,1
frame,2
collectively,2
vowing,2
Foster,2
Whitaker,2
lioness,2
protecting,2
cub,2
reluctant,1
incapable,1
controlling,2
Undoubtedly,3
tattoos,2
wear,2
misty,2
rate,2
magical,3
modesty,2
predicament,1
fits,3
intriguingly,2
contemplative,3
realized,2
rude,1
catalytic,2
holy,2
fool,1
cutthroat,2
unrelenting,2
insistence,2
opting,2
goal,3
frighten,2
disturb,1
spectacularly,4
shiver-inducing,3
nerve-rattling,2
perspectives,2
ideological,3
differences,2
Brilliantly,3
Yellow,2
Asphalt,2
predictability,2
slowness,2
perkiness,2
first-rate,3
no-frills,2
docu-Dogma,2
plainness,2
lingers,2
invisible,2
psychic,2
boxes,2
multiple,2
strands,2
wrote,2
Shakespeare,1
Throughout,2
dashing,3
old-fashioned-movie,2
unburdened,2
pretensions,2
significance,2
fabulous,4
noteworthy,3
supply,2
clears,2
cynicism,1
righteousness,2
Harmon,2
less-is-more,1
bump-in,2
the-night,3
crawlies,1
hidden,2
shadows,2
hint,3
Hitchcockian,3
tact,2
daunting,2
promotes,2
reasonable,3
support,2
scattershot,2
terrorizing,1
conquer,2
reflection,2
prospect,2
Will,2
ape,2
swinging,2
trees,2
hooting,1
praises,3
agreeably,3
close-ups,2
sheerly,2
appeal,3
Of,2
embarrassed,1
cherished,3
seductive,2
unrepentantly,1
Rice,2
Vampire,2
Chronicles,2
pageantry,2
Day-Lewis,2
roars,2
P.T.,2
grandness,3
equalizer,2
ills,1
Twenty,2
touchstone,2
poetic,3
strict,2
species,2
artifice,2
Lady,2
Duke,2
theatrical,2
virtually,2
despicable,1
well-constructed,3
Revolution,2
9,2
interestingly,3
Magnolia,2
Lynch,2
Mulholland,2
Dr.,2
Schepisi,2
aided,2
Gosford,2
Park,2
Mirren,2
succeeded,3
inescapable,2
Hitchens,2
bottom,1
flower,2
purge,2
tooth,2
claw,2
amateurish,1
compassionately,3
portrayed,2
persuasive,3
defeated,2
defiant,2
flux,2
Takes,2
figure,2
begun,2
bronze,3
craft,2
staggeringly,2
intellect,3
self-hating,2
Witty,3
disguised,1
pays,2
turntablists,2
beat,2
jugglers,2
schoolers,2
innovators,3
documenting,2
Got,3
jones,2
Then,2
Twin,2
Peaks,2
Astonishing,4
frames,2
profound,3
ethical,2
quintet,2
112-minute,3
length,2
judge,2
RINGU,1
Many,2
dampened,2
familiarity,2
serve,2
literate,4
roundelay,2
partners,2
functions,2
interplay,2
partnerships,2
Gator-bashing,2
motherhood,3
deferred,2
explored,2
Blue,2
Crush,2
swims,2
Sleeper,1
Summer,2
award,3
engulfed,2
chick,2
enterprise,2
wait,2
dollar,2
haywire,1
manifesto,2
listen,2
Tori,2
Amos,2
records,2
dehumanizing,0
ego-destroying,1
unemployment,1
MTV,2
Undressed,2
20,2
indulgently,2
cultivated,3
pissed,0
handiwork,2
seams,2
pushiness,1
decibel,2
volume,2
craftsmanship,2
intergalactic,2
blood-curdling,2
design,2
choreography,2
intoxicating,3
consumed,2
lust,3
crushed,1
conjures,2
fumes,2
painted,2
Rembrandt,2
Suspend,2
disbelief,1
shaking,2
Trades,2
run-of-the-mill,1
unease,1
influential,3
Implicitly,3
acknowledges,2
chicanery,2
self-delusion,2
businesses,2
tooled,2
terrorism,1
Director-writer,2
Bille,2
August,2
depicts,2
economical,3
deterioration,2
Barbara,2
anger,1
Victor,2
Rosa,2
internalized,2
transparency,2
naughty,2
just-above-average,2
Topics,2
sailor,2
blush,2
perfected,3
self-aggrandizing,2
motivated,3
documentary-making,2
Raimondi,2
Cary,2
Room,2
Houseboat,2
Goose,2
affectionate,2
irresponsible,1
latches,2
None,2
frosting,3
bowl,2
flame-like,2
roiling,1
inspires,4
trembling,2
gratitude,3
pungent,0
bite,1
fall,2
abysmal,1
Argentine,2
Fabian,2
Bielinsky,2
wallet,2
Diane,2
Lane,2
Takashi,2
Miike,3
pushing,2
envelope,2
Ichi,2
rigid,1
Witch-style,2
mockumentary,2
Exhilarating,3
blatantly,2
biased,1
horrible,0
exceedingly,3
mechanisms,2
poverty,1
transcend,3
atmospherics,2
abrasive,1
burn,2
heroine,3
irrigates,2
Hawn,2
bond,2
Banger,2
Sisters,2
nailbiter,2
skewed,2
Kieran,2
Culkin,2
Reader,2
Digest,2
defend,2
frothing,1
ex-girlfriend,2
Domino,2
natural-seeming,2
pleasingly,3
emphatic,3
claustrophobic,1
obsessive,1
real-life,2
basis,2
embellishment,3
sit,2
Kline,2
pondering,2
Originality,3
menu,2
invasion,2
Undisputed,3
1940s,2
dreadful,0
expected,1
cribbed,1
Lang,2
Welles,2
Kane,2
Eisenstein,2
Potemkin,2
Rintar么,2
lasting,2
Crane,2
evolves,3
Pierce,2
Brosnan,2
72-year-old,2
slowed,2
aimlessness,1
Jessica,2
poem,2
transgression,2
Creeps,2
Nakata,2
90,2
seldom,2
hammy,2
honorably,2
burns,1
Kahlories,2
Christmas,2
Future,2
baby,2
boomers,2
Aragorn,2
Arwen,2
Fellowship,2
perfection,4
category,2
X-Men,2
obnoxious,1
clout,2
welcomes,3
dash,2
avant-garde,2
fused,2
affords,2
executive,2
producer,2
shrewd,2
abroad,2
Saddled,1
unwieldy,2
angles,2
payoff,2
stomach-turning,2
lore,2
hallmarks,2
largest-ever,2
Fraser,2
resourceful,3
frustrating,0
tougher,2
Russell,2
Mask,2
Blob,1
meets,2
Otto-Sallies,2
classical,3
Freud,2
sport,2
reclaiming,2
Carmen,2
recreating,2
idiom,2
soars,4
globe,2
panoramic,2
large-screen,2
swooping,2
locales,1
scooping,2
festival,3
rhythm,2
Demonstrates,2
subjective,1
Expect,2
discoveries,3
sits,2
Undercover,2
white,2
fumbled,1
Ayres,2
Cox,2
Nijinsky,3
diaries,2
fiery,4
familial,3
separation,2
societal,2
shoulders,2
Nancy,2
Savoca,2
forged,2
still-raw,2
unsettled,1
9月11日,2
consistent,3
espoused,2
Resurrection,3
banal,1
Loved,4
Ones,2
flirts,2
kitsch,2
commands,3
Romantic,3
Dogme,3
bedfellows,2
compatible,3
beast,2
Wife,2
Actress,2
companionable,3
Island,2
Lost,1
Dreams,2
Rodriguez,2
adorns,2
family-film,2
maturity,3
lacking,1
Based,1
Dave,2
benefits,3
overlapping,2
Bouquet,2
masterly,3
preciseness,2
content,3
pseudo-bio,2
doles,2
job,2
versions,2
cleaner,3
first-time,2
Denzel,3
guessing,2
84,2
glance,2
head-turner,3
thoughtfully,2
humanizing,3
hamming,2
nonjudgmental,3
prostitute,2
lonely,2
needy,2
clients,3
good-hearted,3
Tully,2
self-assured,2
town,3
regret,1
appeals,3
filmgoing,2
Smith,2
implication,2
truncheoning,2
Wow,4
!?,2
Kiarostami,2
casual,2
marvelously,4
catalyst,2
restrictive,1
chaotic,1
celebrated,3
spotlight,2
Numbers,2
widget,2
indulgent,3
sunbaked,2
summery,3
Lucia,2
claustrophic,2
attics,2
inevitably,2
consigned,2
well-done,3
self-reflexive,2
Texan,2
unlimited,2
access,2
church,2
meetings,2
elect,2
employs,2
imposed,2
sensibilities,2
Do,2
Right,2
Jagger,2
Stoppard,2
Apted,2
Greengrass,3
Don,3
Mullan,2
forgoes,2
socio-political,2
Northern,2
pulsating,2
frightening,2
often-funny,3
craftsmen,2
Mama,2
Africa,2
peek,2
autobiographical,2
gesture,2
Shindler,3
List,2
distinctive,3
cleverness,3
camerawork,2
Seeing,2
Seinfeld,2
watches,2
appearance,2
Letterman,2
clinical,2
Speaks,2
symbiotic,3
tormented,2
heritage,2
faceless,2
audacity,1
tragedies,1
deserving,2
preserving,3
Hailed,3
neo-Hitchcockianism,2
accurately,3
Chabrolian,2
stooping,1
gooeyness,1
centre,2
mid-seventies,2
Michel,3
Piccoli,1
pursuers,2
Heidi,2
Mai,2
Thi,2
Charles,2
III,2
applies,2
heroic,4
persistence,2
shapeless,1
Sorcerer,2
oppressive,1
gore,1
uniquely,3
spends,2
ludicrous,0
Be,2
prepared,2
cling,2
hook,2
Thumbs,2
Paxton,2
trap,2
vanity,2
disarmingly,3
strikingly,2
devious,2
Sensitive,2
reconstruction,2
warlord,2
dustbin,2
highlighted,2
Koepp,2
elevates,2
rumination,2
commerce,2
Short-story,2
quaint,2
touchingly,3
mending,2
communication,2
Eudora,2
Welty,2
Marker,2
essayist,2
tasteful,3
revision,2
wonders,2
enhancing,3
subtext,2
richer,2
morals,2
salt,2
wounds,2
tortured,0
creeps,1
crowdpleaser,3
Bound,2
howlingly,2
matters,2
goodness,3
signpost,2
communicates,2
curiously,2
biting,2
chilled,2
breath,2
oral,2
Jackie,2
Chan,2
signals,2
Rick,3
Famuyiwa,2
African-American,2
fashioned,2
provincial,2
bourgeois,2
seeping,2
consciousness,2
lingering,2
deliberately,2
unsteady,1
improvised,2
months,2
conveying,2
kindness,3
ordinary,1
survivable,2
D,2
Hare,2
Cunningham,2
flows,2
forwards,2
weaving,2
Assured,3
glossy,2
brittle,2
savvy,3
Bubble,2
Hugh,2
Goo,2
Scott,2
portrayal,2
Roger,2
cad,2
oomph,2
necessity,2
Two,2
Towers,2
outdoes,2
homework,2
soaked,2
origins,2
Nazi,1
aesthetics,2
Aside,2
lifelong,2
formalist,2
Dumb,1
Dumber,1
unapologetically,2
drugs,2
visit,2
gratefully,2
cornpone,2
Cosa,2
Nostra,2
drives,2
struck,2
occupational,2
subsequent,2
reinvention,2
transforms,2
expanse,2
dead-end,1
distaste,1
inhabit,2
Frequent,2
flurries,2
slaloming,2
grand-scale,3
awarded,2
comeback,3
curlers,2
Men,3
Brooms,2
Canadians,2
white-knuckled,3
tape,2
Ghostbusters,2
architecture,2
tricky,2
Mamet,2
airless,2
shell,2
irresistibly,3
Cube,2
compensate,2
corniness,2
Judd,2
sewing,2
head-trip,2
outsiders,2
avoid,0
condescending,1
plague,2
dealing,2
mentally,2
Daughter,3
Danang,2
sticks,2
sneering,1
womanhood,2
V.S.,2
Naipaul,2
newcomers,2
stifling,2
yawn,1
marked,2
acute,2
convinces,2
dangerous,2
secretly,2
unhinged,2
killed,2
strokes,2
cheeks,2
coos,2
beseechingly,2
tensions,1
distracted,1
ashamed,2
admitting,2
enjoyment,3
kinetically-charged,2
spy,2
summertime,2
bucket,2
anomaly,2
Wait,2
Extremities,2
Them,2
Tarantula,2
budget,2
sophomoric,1
hellish,1
Puts,2
comical,3
all-too-familiar,1
grew,2
Matthew,2
Lillard,2
Shaggy,2
Paid,2
inner-city,2
Reagan,2
Spider-man,2
endure,2
trove,2
Excellent,4
Jacqueline,2
Bisset,3
Plimpton,2
clones,2
Harvard,2
recognizably,2
Plympton,2
bothered,2
construct,2
Jolting,3
Charleston,2
send,2
waiting,2
Close,2
freewheeling,2
trash-cinema,0
Skillfully,3
weaves,2
powerfully,2
combining,2
sexuality,2
malaise,1
Damon,2
sacrificing,2
frighteningly,2
contradiction,1
outshine,3
Crazy,2
La,2
Salle,2
wondered,2
smack,2
zone,2
armed,2
Oscar-nominated,4
Woodman,2
influenced,2
girl-meets-girl,2
pertinent,2
modicum,2
Sprecher,2
screenwriting,2
partner,2
Karen,2
self-reflection,2
bland,1
piercing,3
spikes,2
ball-and-chain,2
Ball,2
Chain,2
Looking,2
Leonard,2
